fecha_hora;caudal_l_s;presion_bar
2026-03-04 11:55:00;10,6;2,849
2026-03-04 12:00:00;12,63;2,881
2026-03-04 12:05:00;13,33;2,819
2026-03-04 12:10:00;11,41;2,79
2026-03-04 12:15:00;11,63;2,841
2026-03-04 12:20:00;13,89;2,905
2026-03-04 12:25:00;12,34;2,85
2026-03-04 12:30:00;;
2026-03-04 12:35:00;;
2026-03-04 12:40:00;;
2026-03-04 12:45:00;;
2026-03-04 12:50:00;;
2026-03-04 12:55:00;;
2026-03-04 13:00:00;;
2026-03-04 13:05:00;;
2026-03-04 13:10:00;;
2026-03-04 13:15:00;;
2026-03-04 13:20:00;;
2026-03-04 13:25:00;;
2026-03-04 13:30:00;;
2026-03-04 13:35:00;;
2026-03-04 13:40:00;;
2026-03-04 13:45:00;;
2026-03-04 13:50:00;;
2026-03-04 13:55:00;;
2026-03-04 14:00:00;;
2026-03-04 14:05:00;;
2026-03-04 14:10:00;;
2026-03-04 14:15:00;;
2026-03-04 14:20:00;;
2026-03-04 14:25:00;;
2026-03-04 14:30:00;;
2026-03-04 14:35:00;;
2026-03-04 14:40:00;;
2026-03-04 14:45:00;;
2026-03-04 14:50:00;;
2026-03-04 14:55:00;;
2026-03-04 15:00:00;;
2026-03-04 15:05:00;;
2026-03-04 15:10:00;;
2026-03-04 15:15:00;;
2026-03-04 15:20:00;;
2026-03-04 15:25:00;;
2026-03-04 15:30:00;;
2026-03-04 15:35:00;;
2026-03-04 15:40:00;46,85;3,428
2026-03-04 15:45:00;48,52;3,516
2026-03-04 15:50:00;46,69;3,451
2026-03-04 15:55:00;46,32;3,449
2026-03-04 16:00:00;47,59;3,471
2026-03-04 16:05:00;48,52;3,527
2026-03-04 16:10:00;47,36;3,472
2026-03-04 16:15:00;48,97;3,54
2026-03-04 16:20:00;47,92;3,521
2026-03-04 16:25:00;47,9;3,48
2026-03-04 16:30:00;47,1;3,425
2026-03-04 16:35:00;48,3;3,518
2026-03-04 16:40:00;47,17;3,466
2026-03-04 16:45:00;45,07;3,399
2026-03-04 16:50:00;47,06;3,444
2026-03-04 16:55:00;48,77;3,511
2026-03-04 17:00:00;46,53;3,423
2026-03-04 17:05:00;47,35;3,529
2026-03-04 17:10:00;49,2;3,531
2026-03-04 17:15:00;45,48;3,488
2026-03-04 17:20:00;48,48;3,532
2026-03-04 17:25:00;47,29;3,494
2026-03-04 17:30:00;45,78;3,452
2026-03-04 17:35:00;46,81;3,436
2026-03-04 17:40:00;48,02;3,473
2026-03-04 17:45:00;46,1;3,401
2026-03-04 17:50:00;47,62;3,457
2026-03-04 17:55:00;48,57;3,481
2026-03-04 18:00:00;48,96;3,587
2026-03-04 18:05:00;46,65;3,486
2026-03-04 18:10:00;47,82;3,488
2026-03-04 18:15:00;48,14;3,519
2026-03-04 18:20:00;46,54;3,513
2026-03-04 18:25:00;45,42;3,385
2026-03-04 18:30:00;47,81;3,561
2026-03-04 18:35:00;47,53;3,485
2026-03-04 18:40:00;48,01;3,474
2026-03-04 18:45:00;48,11;3,503
2026-03-04 18:50:00;48,58;3,493
2026-03-04 18:55:00;47,62;3,47
2026-03-04 19:00:00;47,05;3,457
2026-03-04 19:05:00;47,99;3,55
2026-03-04 19:10:00;46,9;3,496
2026-03-04 19:15:00;46,37;3,439
2026-03-04 19:20:00;47,12;3,489
2026-03-04 19:25:00;-11,4;3,48
2026-03-04 19:30:00;-8,7;3,475
2026-03-04 19:35:00;46,92;3,475
2026-03-04 19:40:00;47,6;3,511
2026-03-04 19:45:00;47,32;3,517
2026-03-04 19:50:00;47,43;3,443
2026-03-04 19:55:00;47,32;3,477
2026-03-04 20:00:00;13,9;2,862
2026-03-04 20:05:00;12,23;2,83
2026-03-04 20:10:00;12,05;2,872
2026-03-04 20:15:00;12,75;2,822
2026-03-04 20:20:00;12,12;2,788
2026-03-04 20:25:00;12,07;2,801
2026-03-04 20:30:00;10,8;2,833
2026-03-04 20:35:00;11,73;2,802
2026-03-04 20:40:00;12,44;2,847
2026-03-04 20:45:00;11,49;2,854
2026-03-04 20:50:00;12,5;2,881
2026-03-04 20:55:00;12,35;2,813
2026-03-04 21:00:00;11,49;2,802
2026-03-04 21:05:00;11,83;2,858
2026-03-04 21:10:00;14,17;2,869
2026-03-04 21:15:00;12,48;2,839
2026-03-04 21:20:00;12,57;2,867
2026-03-04 21:25:00;12,74;2,824
2026-03-04 21:30:00;11,05;2,88
2026-03-04 21:35:00;10,28;2,885
2026-03-04 21:40:00;11,27;2,782
2026-03-04 21:45:00;13,11;2,882
2026-03-04 21:50:00;12,46;2,795
2026-03-04 21:55:00;11,31;2,833
2026-03-04 22:00:00;12,94;2,864
2026-03-04 22:05:00;11,43;2,898
2026-03-04 22:10:00;10,96;2,869
2026-03-04 22:15:00;12,78;2,869
2026-03-04 22:20:00;12,0;2,845
2026-03-04 22:25:00;11,44;2,854
2026-03-04 22:30:00;11,95;2,88
2026-03-04 22:35:00;13,65;2,84
2026-03-04 22:40:00;10,79;2,872
2026-03-04 22:45:00;13,25;2,82
2026-03-04 22:50:00;12,02;2,852
2026-03-04 22:55:00;12,79;2,889
2026-03-04 23:00:00;11,04;2,852
2026-03-04 23:05:00;13,1;2,85
2026-03-04 23:10:00;11,61;2,871
2026-03-04 23:15:00;12,32;2,879
2026-03-04 23:20:00;12,34;2,887
2026-03-04 23:25:00;13,39;2,892
2026-03-04 23:30:00;10,42;2,791
2026-03-04 23:35:00;12,12;2,814
2026-03-04 23:40:00;11,14;2,84
2026-03-04 23:45:00;12,29;2,875
2026-03-04 23:50:00;10,51;2,873
2026-03-04 23:55:00;11,34;2,818
2026-03-05 00:00:00;11,28;2,8
2026-03-05 00:05:00;12,91;2,856
2026-03-05 00:10:00;13,06;2,919
2026-03-05 00:15:00;11,47;2,812
2026-03-05 00:20:00;13,09;2,817
2026-03-05 00:25:00;11,6;2,824
2026-03-05 00:30:00;13,59;2,819
2026-03-05 00:35:00;12,07;2,812
2026-03-05 00:40:00;11,96;2,829
2026-03-05 00:45:00;12,33;2,863
2026-03-05 00:50:00;13,02;2,889
2026-03-05 00:55:00;12,03;2,824
2026-03-05 01:15:00;11,91;2,824
2026-03-05 01:20:00;12,36;2,824
2026-03-05 01:25:00;11,89;2,864
2026-03-05 01:00:00;11,94;2,836
2026-03-05 01:05:00;12,34;2,808
2026-03-05 01:10:00;11,41;2,804
2026-03-05 01:30:00;12,69;2,821
2026-03-05 01:35:00;13,01;2,843
2026-03-05 01:40:00;11,85;2,861
2026-03-05 01:45:00;12,39;2,839
2026-03-05 01:50:00;12,22;2,852
2026-03-05 01:55:00;12,69;2,876
2026-03-05 02:00:00;13,75;2,922
2026-03-05 02:05:00;13,65;2,867
2026-03-05 02:10:00;10,3;2,833
2026-03-05 02:15:00;12,1;2,905
2026-03-05 02:20:00;10,78;2,801
2026-03-05 02:25:00;12,24;2,871
2026-03-05 02:30:00;32,9;2,801
2026-03-05 02:35:00;34,22;2,801
2026-03-05 02:40:00;32,5;2,851
2026-03-05 02:45:00;11,8;2,857
2026-03-05 02:50:00;11,66;2,859
2026-03-05 02:55:00;12,87;2,892
2026-03-05 03:00:00;11,74;2,797
2026-03-05 03:05:00;11,89;2,888
2026-03-05 03:10:00;10,25;2,855
2026-03-05 03:15:00;12,23;2,868
2026-03-05 03:20:00;12,66;2,857
2026-03-05 03:25:00;10,87;2,829
2026-03-05 03:30:00;11,42;2,814
2026-03-05 03:35:00;9,44;2,746
2026-03-05 03:40:00;12,56;2,811
2026-03-05 03:45:00;11,66;2,815
2026-03-05 03:50:00;12,43;2,834
2026-03-05 03:55:00;10,32;2,824
2026-03-05 04:00:00;12,71;2,906
2026-03-05 04:05:00;11,28;2,809
2026-03-05 04:10:00;11,31;2,788
2026-03-05 04:15:00;12,33;2,843
2026-03-05 04:20:00;10,77;2,86
2026-03-05 04:25:00;10,76;2,819
2026-03-05 04:30:00;11,7;2,847
2026-03-05 04:35:00;10,06;2,811
2026-03-05 04:40:00;12,79;2,898
2026-03-05 04:45:00;11,22;2,792
2026-03-05 04:50:00;11,59;2,862
2026-03-05 04:55:00;11,85;2,905
2026-03-05 05:00:00;44,11;3,419
2026-03-05 05:05:00;44,91;3,407
2026-03-05 05:10:00;44,79;3,417
2026-03-05 05:15:00;42,9;3,439
2026-03-05 05:20:00;43,7;3,446
2026-03-05 05:25:00;43,59;3,432
2026-03-05 05:30:00;44,28;3,408
2026-03-05 05:35:00;43,89;3,431
2026-03-05 05:40:00;45,1;3,444
2026-03-05 05:45:00;43,36;3,43
2026-03-05 05:50:00;43,47;3,416
2026-03-05 05:55:00;43,79;3,427
2026-03-05 06:00:00;44,18;3,431
2026-03-05 06:05:00;44,86;3,416
2026-03-05 06:10:00;45,12;3,497
2026-03-05 06:15:00;45,08;3,437
2026-03-05 06:20:00;43,24;3,393
2026-03-05 06:25:00;43,43;3,465
2026-03-05 06:30:00;42,82;3,441
2026-03-05 06:35:00;42,51;3,398
2026-03-05 06:40:00;43,94;3,398
2026-03-05 06:45:00;42,44;3,368
2026-03-05 06:50:00;45,03;3,417
2026-03-05 06:55:00;43,14;3,442
2026-03-05 07:00:00;44,46;3,437
2026-03-05 07:05:00;43,52;3,455
2026-03-05 07:10:00;43,47;3,471
2026-03-05 07:15:00;43,13;3,409
2026-03-05 07:20:00;43,49;3,451
2026-03-05 07:25:00;45,07;3,387
2026-03-05 07:30:00;44,21;3,416
2026-03-05 07:35:00;44,04;3,415
2026-03-05 07:40:00;43,03;3,483
2026-03-05 07:45:00;42,73;3,398
2026-03-05 07:50:00;43,76;3,452
2026-03-05 07:55:00;45,95;3,446
2026-03-05 08:00:00;43,12;3,387
2026-03-05 08:05:00;44,07;3,47
2026-03-05 08:10:00;43,44;3,379
2026-03-05 08:15:00;44,34;3,403
2026-03-05 08:20:00;42,87;3,354
2026-03-05 08:25:00;43,27;3,417
2026-03-05 08:30:00;44,25;3,43
2026-03-05 08:35:00;43,51;3,441
2026-03-05 08:40:00;44,67;3,411
2026-03-05 08:45:00;45,5;3,442
2026-03-05 08:50:00;43,97;3,428
2026-03-05 08:55:00;43,12;3,409
2026-03-05 09:00:00;42,12;3,392
2026-03-05 09:05:00;43,89;3,4
2026-03-05 09:10:00;45,31;3,462
2026-03-05 09:15:00;43,96;3,463
2026-03-05 09:20:00;44,0;3,426
2026-03-05 09:25:00;43,84;3,421
2026-03-05 09:30:00;;
2026-03-05 09:35:00;;
2026-03-05 09:40:00;;
2026-03-05 09:45:00;;
2026-03-05 09:50:00;;
2026-03-05 09:55:00;;
2026-03-05 10:00:00;;
2026-03-05 10:05:00;;
2026-03-05 10:10:00;;
2026-03-05 10:15:00;;
2026-03-05 10:20:00;;
2026-03-05 10:25:00;;
2026-03-05 10:30:00;;
2026-03-05 10:35:00;;
2026-03-05 10:40:00;;
2026-03-05 10:45:00;;
2026-03-05 10:50:00;;
2026-03-05 10:55:00;;
2026-03-05 11:00:00;;
2026-03-05 11:05:00;11,51;2,83
2026-03-05 11:10:00;13,74;2,889
2026-03-05 11:15:00;12,44;2,843
2026-03-05 11:20:00;10,68;2,843
2026-03-05 11:25:00;10,76;2,832
2026-03-05 11:30:00;11,53;2,807
2026-03-05 11:35:00;11,46;2,842
2026-03-05 11:40:00;12,21;2,868
2026-03-05 11:45:00;13,48;2,874
2026-03-05 11:50:00;11,73;2,829
2026-03-05 11:55:00;12,17;2,889
2026-03-05 12:00:00;11,67;2,858
2026-03-05 12:05:00;11,17;2,809
2026-03-05 12:10:00;13,34;2,871
2026-03-05 12:15:00;12,44;2,831
2026-03-05 12:20:00;11,88;2,869
2026-03-05 12:25:00;11,51;2,798
2026-03-05 12:30:00;12,54;2,877
2026-03-05 12:35:00;11,91;2,808
2026-03-05 12:40:00;11,97;2,84
2026-03-05 12:45:00;11,95;2,875
2026-03-05 12:50:00;10,49;2,776
2026-03-05 12:55:00;12,86;2,852
2026-03-05 13:00:00;13,19;2,895
2026-03-05 13:05:00;11,98;2,853
2026-03-05 13:10:00;11,26;2,847
2026-03-05 13:15:00;13,75;2,869
2026-03-05 13:20:00;11,55;2,821
2026-03-05 13:25:00;12,37;2,851
2026-03-05 13:30:00;10,8;2,783
2026-03-05 13:35:00;12,53;2,875
2026-03-05 13:40:00;11,39;2,85
2026-03-05 13:45:00;12,32;2,861
2026-03-05 13:50:00;12,52;2,859
2026-03-05 13:55:00;12,4;2,892
2026-03-05 14:00:00;13,51;2,842
2026-03-05 14:05:00;11,48;2,766
2026-03-05 14:10:00;11,98;2,837
2026-03-05 14:15:00;13,84;2,835
2026-03-05 14:20:00;12,79;2,872
2026-03-05 14:25:00;12,6;2,868
2026-03-05 14:30:00;13,61;2,848
2026-03-05 14:35:00;11,27;2,821
2026-03-05 14:40:00;13,23;2,906
2026-03-05 14:45:00;11,37;2,837
2026-03-05 14:50:00;12,73;2,879
2026-03-05 14:55:00;12,06;2,85
2026-03-05 15:00:00;46,94;3,558
2026-03-05 15:05:00;48,32;3,543
2026-03-05 15:10:00;48,26;3,509
2026-03-05 15:15:00;46,35;3,491
2026-03-05 15:20:00;47,52;3,493
2026-03-05 15:25:00;48,19;3,525
2026-03-05 15:30:00;47,78;3,493
2026-03-05 15:35:00;48,27;3,541
2026-03-05 15:40:00;48,15;3,512
2026-03-05 15:45:00;46,2;3,439
2026-03-05 15:50:00;46,78;3,487
2026-03-05 15:55:00;48,13;3,483
2026-03-05 16:00:00;47,42;3,513
2026-03-05 16:05:00;47,66;3,464
2026-03-05 16:10:00;46,96;3,51
2026-03-05 16:15:00;48,05;3,484
2026-03-05 16:20:00;49,34;3,517
2026-03-05 16:25:00;46,81;3,437
2026-03-05 16:30:00;48,95;3,543
2026-03-05 16:35:00;46,93;3,487
2026-03-05 16:40:00;47,84;3,521
2026-03-05 16:45:00;46,58;3,448
2026-03-05 16:50:00;48,15;3,494
2026-03-05 16:55:00;47,1;3,493
2026-03-05 17:00:00;47,81;3,491
2026-03-05 17:05:00;46,72;3,469
2026-03-05 17:10:00;47,0;3,518
2026-03-05 17:15:00;48,55;3,548
2026-03-05 17:20:00;46,47;3,493
2026-03-05 17:25:00;45,72;3,47
2026-03-05 17:30:00;46,85;3,438
2026-03-05 17:35:00;46,78;3,535
2026-03-05 17:40:00;48,09;3,501
2026-03-05 17:45:00;48,6;3,526
2026-03-05 17:50:00;47,02;3,465
2026-03-05 17:55:00;47,0;3,496
2026-03-05 18:00:00;46,45;3,454
2026-03-05 18:05:00;46,58;3,516
2026-03-05 18:10:00;47,03;3,463
2026-03-05 18:15:00;47,1;3,528
2026-03-05 18:20:00;46,47;3,47
2026-03-05 18:25:00;46,78;3,491
2026-03-05 18:30:00;47,75;3,466
2026-03-05 18:35:00;47,65;3,493
2026-03-05 18:40:00;47,6;3,447
2026-03-05 18:45:00;46,89;3,404
2026-03-05 18:50:00;46,75;3,536
2026-03-05 18:55:00;46,34;3,449
2026-03-05 19:00:00;47,91;3,513
2026-03-05 19:05:00;45,88;3,491
2026-03-05 19:10:00;49,03;3,543
2026-03-05 19:15:00;46,63;3,464
2026-03-05 19:20:00;47,35;3,567
2026-03-05 19:25:00;186,0;3,539
2026-03-05 19:30:00;141,2;3,451
2026-03-05 19:35:00;47,81;3,474
2026-03-05 19:40:00;46,22;3,485
2026-03-05 19:45:00;48,28;3,499
2026-03-05 19:50:00;48,76;3,492
2026-03-05 19:55:00;47,97;3,498
2026-03-05 20:00:00;12,66;2,876
2026-03-05 20:05:00;12,27;2,87
2026-03-05 20:10:00;11,74;2,86
2026-03-05 20:15:00;11,03;2,861
2026-03-05 20:20:00;11,59;2,829
2026-03-05 20:25:00;10,01;2,794
2026-03-05 20:30:00;12,68;2,869
2026-03-05 20:35:00;11,71;2,812
2026-03-05 20:40:00;12,25;2,846
2026-03-05 20:45:00;12,57;2,833
2026-03-05 20:50:00;12,05;2,843
2026-03-05 20:55:00;12,11;2,831
2026-03-05 21:00:00;13,4;2,869
2026-03-05 21:05:00;11,53;2,805
2026-03-05 21:10:00;11,74;2,84
2026-03-05 21:15:00;12,69;2,887
2026-03-05 21:20:00;11,93;2,899
2026-03-05 21:25:00;10,24;2,808
2026-03-05 21:30:00;9,65;2,816
2026-03-05 21:35:00;10,8;2,787
2026-03-05 21:40:00;12,3;2,821
2026-03-05 21:45:00;12,22;2,811
2026-03-05 21:50:00;9,09;2,796
2026-03-05 21:55:00;12,83;2,947
2026-03-05 22:00:00;13,86;2,966
2026-03-05 22:05:00;12,94;2,853
2026-03-05 22:10:00;11,83;2,87
2026-03-05 22:15:00;12,13;2,817
2026-03-05 22:20:00;12,28;2,864
2026-03-05 22:25:00;11,09;2,881
2026-03-05 22:30:00;10,23;2,806
2026-03-05 22:35:00;12,43;2,792
2026-03-05 22:40:00;11,43;2,751
2026-03-05 22:45:00;11,78;2,855
2026-03-05 22:50:00;13,02;2,809
2026-03-05 22:55:00;11,9;2,882
2026-03-05 23:00:00;12,22;2,871
2026-03-05 23:05:00;13,44;2,879
2026-03-05 23:10:00;11,93;2,864
2026-03-05 23:15:00;12,11;2,821
2026-03-05 23:20:00;12,9;2,839
2026-03-05 23:25:00;12,14;2,921
2026-03-05 23:30:00;10,94;2,801
2026-03-05 23:35:00;14,29;2,881
2026-03-05 23:40:00;11,76;2,788
2026-03-05 23:45:00;11,93;2,838
2026-03-05 23:50:00;12,4;2,834
2026-03-05 23:55:00;13,23;2,845
2026-03-06 00:00:00;11,73;2,806
2026-03-06 00:05:00;10,59;2,852
2026-03-06 00:10:00;11,0;2,856
2026-03-06 00:15:00;12,18;2,843
2026-03-06 00:20:00;10,97;2,846
2026-03-06 00:25:00;10,05;2,793
2026-03-06 00:30:00;12,62;2,848
2026-03-06 00:35:00;10,86;2,788
2026-03-06 00:40:00;11,96;2,845
2026-03-06 00:45:00;13,12;2,862
2026-03-06 00:50:00;12,36;2,907
2026-03-06 00:55:00;11,17;2,851
2026-03-06 01:00:00;13,45;2,94
2026-03-06 01:05:00;12,34;2,826
2026-03-06 01:10:00;12,04;2,848
2026-03-06 01:15:00;10,92;2,817
2026-03-06 01:20:00;10,34;2,798
2026-03-06 01:25:00;11,07;2,804
2026-03-06 01:30:00;12,53;2,879
2026-03-06 01:35:00;12,31;2,9
2026-03-06 01:40:00;12,27;2,884
2026-03-06 01:45:00;13,0;2,868
2026-03-06 01:50:00;12,92;2,869
2026-03-06 01:55:00;11,38;2,881
2026-03-06 02:00:00;11,11;2,833
2026-03-06 02:05:00;11,35;2,819
2026-03-06 02:10:00;12,16;2,838
2026-03-06 02:15:00;12,33;2,857
2026-03-06 02:20:00;11,96;2,863
2026-03-06 02:25:00;11,65;2,829
2026-03-06 02:30:00;11,48;2,863
2026-03-06 02:35:00;10,78;2,838
2026-03-06 02:40:00;12,67;2,856
2026-03-06 02:45:00;13,66;2,929
2026-03-06 02:50:00;12,17;2,808
2026-03-06 02:55:00;10,93;2,796
2026-03-06 03:00:00;13,15;2,883
2026-03-06 03:05:00;12,33;2,834
2026-03-06 03:10:00;11,08;2,869
2026-03-06 03:15:00;11,94;2,854
2026-03-06 03:20:00;10,12;2,845
2026-03-06 03:25:00;12,77;2,889
2026-03-06 03:30:00;9,87;2,815
2026-03-06 03:35:00;11,13;2,799
2026-03-06 03:40:00;10,98;2,818
2026-03-06 03:45:00;11,89;2,867
2026-03-06 03:50:00;11,62;2,819
2026-03-06 03:55:00;12,05;2,842
2026-03-06 04:00:00;14,84;2,919
2026-03-06 04:05:00;11,25;2,862
2026-03-06 04:10:00;10,94;2,887
2026-03-06 04:15:00;14,03;2,878
2026-03-06 04:20:00;10,95;2,883
2026-03-06 04:25:00;10,68;2,802
2026-03-06 04:30:00;13,27;2,86
2026-03-06 04:35:00;12,95;2,846
2026-03-06 04:40:00;11,64;2,831
2026-03-06 04:45:00;11,33;2,802
2026-03-06 04:50:00;13,06;2,86
2026-03-06 04:55:00;12,8;2,866
2026-03-06 05:00:00;45,01;3,456
2026-03-06 05:05:00;44,02;3,391
2026-03-06 05:10:00;44,58;3,435
2026-03-06 05:15:00;43,2;3,426
2026-03-06 05:20:00;;
2026-03-06 05:25:00;;
2026-03-06 05:30:00;;
2026-03-06 05:35:00;;
2026-03-06 05:40:00;;
2026-03-06 05:45:00;;
2026-03-06 05:50:00;;
2026-03-06 05:55:00;42,84;3,375
2026-03-06 06:00:00;42,77;3,396
2026-03-06 06:05:00;43,63;3,413
2026-03-06 06:10:00;44,59;3,497
2026-03-06 06:15:00;44,65;3,44
2026-03-06 06:20:00;41,85;3,36
2026-03-06 06:25:00;43,82;3,394
2026-03-06 06:30:00;43,33;3,388
2026-03-06 06:35:00;45,6;3,48
2026-03-06 06:40:00;44,9;3,378
2026-03-06 06:45:00;43,97;3,407
2026-03-06 06:50:00;43,67;3,435
2026-03-06 06:55:00;44,23;3,45
2026-03-06 07:00:00;42,49;3,428
2026-03-06 07:05:00;46,37;3,441
2026-03-06 07:10:00;44,79;3,419
2026-03-06 07:15:00;44,13;3,389
2026-03-06 07:20:00;42,71;3,374
2026-03-06 07:25:00;45,09;3,458
2026-03-06 07:30:00;43,81;3,424
2026-03-06 07:35:00;45,58;3,466
2026-03-06 07:40:00;43,84;3,397
2026-03-06 07:45:00;44,66;3,475
2026-03-06 07:50:00;42,85;3,421
2026-03-06 07:55:00;43,75;3,381
2026-03-06 08:00:00;42,59;3,345
2026-03-06 08:05:00;43,54;3,431
2026-03-06 08:10:00;45,95;3,471
2026-03-06 08:15:00;42,66;3,356
2026-03-06 08:20:00;43,52;3,436
2026-03-06 08:25:00;45,35;3,507
2026-03-06 08:30:00;44,34;3,387
2026-03-06 08:35:00;43,69;3,424
2026-03-06 08:40:00;43,62;3,406
2026-03-06 08:45:00;43,88;3,408
