fecha_hora,humedad_m3_m3
2026-03-05 10:00:00,0.294605
2026-03-05 10:30:00,0.295987
2026-03-05 11:00:00,0.296211
2026-03-05 11:30:00,0.291038
2026-03-05 12:00:00,0.298211
2026-03-05 12:30:00,0.28834
2026-03-05 13:00:00,0.292204
2026-03-05 13:30:00,0.295428
2026-03-05 14:00:00,0.294883
2026-03-05 14:30:00,0.289729
2026-03-05 15:00:00,0.289948
2026-03-05 15:30:00,0.294355
2026-03-05 16:00:00,0.291557
2026-03-05 16:30:00,0.39399
2026-03-05 17:00:00,0.287476
2026-03-05 17:30:00,0.289122
2026-03-05 18:00:00,0.297641
2026-03-05 18:30:00,0.298348
2026-03-05 19:00:00,0.289094
2026-03-05 19:30:00,0.293242
2026-03-05 20:00:00,0.288362
2026-03-05 20:30:00,0.286194
2026-03-05 21:00:00,0.297492
2026-03-05 21:30:00,0.287988
2026-03-05 22:00:00,0.389436
2026-03-05 22:30:00,0.296773
2026-03-05 23:00:00,0.288568
2026-03-05 23:30:00,0.286902
2026-03-06 00:00:00,0.29245
2026-03-06 00:30:00,0.296541
2026-03-06 01:00:00,0.291336
2026-03-06 01:30:00,0.29844
2026-03-06 02:00:00,0.293713
2026-03-06 02:30:00,0.293546
2026-03-06 03:00:00,0.289963
2026-03-06 03:30:00,0.295232
2026-03-06 04:00:00,0.29014
2026-03-06 04:30:00,0.280737
2026-03-06 05:00:00,0.289527
2026-03-06 05:30:00,0.297112
2026-03-06 06:00:00,0.287092
2026-03-06 06:30:00,0.290671
2026-03-06 07:00:00,0.298823
2026-03-06 07:30:00,0.282238
2026-03-06 08:00:00,0.295555
2026-03-06 08:30:00,0.290191
2026-03-06 09:00:00,0.283439
2026-03-06 09:30:00,0.287948
2026-03-06 10:00:00,0.293285
2026-03-06 10:30:00,0.284691
2026-03-06 11:00:00,0.2914
2026-03-06 11:30:00,0.295608
2026-03-06 12:00:00,0.297274
2026-03-06 12:30:00,0.286939
2026-03-06 13:00:00,0.292121
2026-03-06 13:30:00,0.293482
2026-03-06 14:00:00,0.286334
2026-03-06 14:30:00,0.281299
2026-03-06 15:00:00,0.291888
2026-03-06 15:30:00,0.290599
2026-03-06 16:00:00,0.292694
2026-03-06 16:30:00,0.393074
2026-03-06 17:00:00,0.39514
2026-03-06 17:30:00,0.390828
2026-03-06 18:00:00,0.28824
2026-03-06 18:30:00,0.29235
2026-03-06 19:00:00,0.2875
2026-03-06 19:30:00,0.285088
2026-03-06 20:00:00,0.28839
2026-03-06 20:30:00,0.389847
2026-03-06 21:00:00,0.390941
2026-03-06 21:30:00,0.287373
2026-03-06 22:00:00,0.290344
2026-03-06 22:30:00,0.389035
2026-03-06 23:00:00,0.289506
2026-03-06 23:30:00,0.28898
